Kofferfabrik,yes,,Fürth,,kofferkultur@web.de
,yes,,,,
,yes,,,,
Rock at Sage,yes,,Berlin,,info@sagegroup.de
Goldmark's,yes,,Stuttgart,,info@goldmarks.de
Laboratorium,yes,,Stuttgart,,info@laboratorium-stuttgart.de
Kulturpalast,yes,,Hamburg,,info@kph-hamburg.de
7er Club,yes,,Mannheim,,info@7er-club.com
Emma 23,yes,,Heilbronn,,emma23@email.de
Don't Panic,yes,,Essen,,in+F40:J87fo@dontpanicessen.de
Paunchy Cats,yes,,Lichtenfels,,info@paunchy-cats.de
Barfly,yes,,Sonthofen,,emgor77@aol.com
Ponyhof,yes,,Frankfurt,,info@ponyhof-club.de
Matrixx,yes,,Nürnberg,,wolfgang_hanika@web.de
Kulturzentrum Merlin,yes,,Stuttgart,,info@merlinstuttgart.de
Theaterstübchen,yes,,Kassel,,markus@theaterstuebchen.de
Bluesclub Meisenfrei,yes,,Bremen,,booking@meisenfrei.de
Kultbahnhof,yes,,Gifhorn,,booking@kultbahnhof-gifhorn.de
Torburg,yes,,Köln,,kontakt@torburg.koeln
Kulturzentrum Franzis,yes,,Wetzlar,,service@franzis-wetzlar.de
Beatfabrik,yes,,Heidelberg,,
Bluesgarage,yes,,Isernhagen,,booking@bluesgarage.de
Blue Shell,yes,,Köln,,rolf.kistenich@blue-shell.de
Hirsch,yes,,Nürnberg,,booking@der-hirsch.de
,yes,,,,
Luise The Cultfactory,yes,,Nürnberg,,info@luise-cultfactory.de
Stattbahnhof,yes,,Schweinfurt,,booking@stattbahnhof.de
Juze Bad Neustadt,yes,,Bad Neustadt,,
,yes,,,,
Barrikade,yes,,Zwickau,,schockeffekt@web.de
JUZ Wiesengrund,yes,,Erlangen,,jugendhaus-er-konzerte@gmx.de
Nilles Saarbrooklyn,yes,,Saarbrücken,,frank-nilles@web.de
,yes,,,,
Classic Rock Café,yes,,Stuttgart,,info@classicrockcafe.de
Hemperium,yes,,Ulm,,booking@hemperium.de
Altes Pfandhaus,yes,,Köln,,kontakt@altes-pfandhaus.de
Club Stereo,yes,,Nürnberg,,info@club-stereo.net
Heimat,yes,,Regensburg,,info@heimat-rgb.de
Trauma,yes,,Marburg,,konzert@cafetrauma.de
KFZ Marburg,yes,,Marburg,,hoffbauer@kfz-marburg.de
Flowerpower,yes,,Leipzig,,booking@flowerpower-leipzig.de
,yes,,,,
Das Bett,yes,,Frankfurt,,info@bett-club.de
Rickenbackers Music Inn,yes,,Berlin,,booking@rickenbackers.de
Kulturrampe,yes,,Krefeld,,info@kulturrampe.de
Kesselhaus,yes,,Singwitz,,live@kesselhauslager.de
Music Star,yes,,Norderstedt,,rock-am-markt@harksheide.de
Blue Notez,yes,,Dortmund,,info@blue-notez.com
,yes,,,,
,yes,,,,
Luxor,yes,,Köln,,info@luxor-koeln.de
Molotow,yes,,Hamburg,,molotow@molotowclub.com
,yes,,,,
Village,yes,,Habach,,info@village-habach.de
Gsälzbär Die Kneipe,yes,,Ravensburg,,sauer-ulli@web.de
Katakombe,yes,,Marktheidenfeld,,katakombe@gmx.net
Traube,yes,,Durlach,,r.becker@traube-durlach.de
Muddy's Club,yes,,Weinheim,,vorstand@muddys-club.net
Die Halle e.V.,yes,,Reichenbach,,florian.pfirrmann@diehalle.de
Glashaus,yes,,Bayreuth,,rock@glashaus.org
Zeche,yes,,Bochum,,booking@zeche.com
Schraub-Bar,yes,,Bückeburg,,info@schraub-bar.de
,yes,,,,
Spitalkeller Offenburg,yes,,Offenburg,,klaus@361Grad.de
MUZ Nürnberg,yes,,Nürnberg,,aklenk@musikzentrale.com
Rosis Amüsierlokal,yes,,Dresden,,info@rosis-dresden.de
,yes,,,,
Kulturbrücken Jungbusch,yes,,Mannheim,,kulturbrueckenjungbusch@hotmail.de
Dreikönigskeller,yes,,Frankfurt,,kontakt@dreikoenigskeller.eu
Flexibel,yes,,Saarwellingen,,flexibel-saarwellingen@gmx.de
Legends-Lounge,yes,,Olching,,kontakt@legends-lounge.info
,yes,,,,
Substage,yes,,Karlsruhe,,info@substage.de
Schlachthof,yes,,Wiesbaden,,info@schlachthof-wiesbaden.de
Baron,yes,,Mainz,,info@baron-mainz.de
Das Kult,yes,,Gundersweiler,,nickel-mario@t-online.de
Maximal,yes,,Rodgau,,info@maximal-rodgau.de
,yes,,,,
Ochsen,yes,,Sinzheim,,info@ochsen-sinzheim.de
Hypothalamus,yes,,Rheine,,jscholten@hypothalamus.de
Bastion,yes,,Kirchheim unter Teck,,club-bastion@t-online.de
Musikklub am Stak,yes,,Schmölln,,roger-pr@t-online.de
Da Capo,yes,,Zella Mehlis,,muckh-da-capo@gmx.de
Karl,yes,,Heidelberg,,info@k-a-r-l.de
Mojo Club,yes,,Hamburg,,booking@mojo.de
Prachtwerk,yes,,Berlin,,booking@prachtwerkberlin.com
Freundlich + Kompetent,yes,,Hamburg,,info@freundlichundkompetent.de
,yes,,,,
Alte Mälzerei,yes,,Regensburg,,hans.krottenthaler@alte-maelzerei.de
Rock Fabrik,yes,,Ludwigsburg,,rofa@rocks.de
Kopf und Kragen,yes,,Fürth,,Sabine.Tipp@con-action.net
Universum,yes,,Stuttgart,,kontakt@universum-stuttgart.de
Disharmonie,yes,,Schweinfurt,,info@disharmonie.de
Studio 7,yes,,Berlin,,bert@studio7panketal.de
800A,yes,,Berlin,,800aberlin@gmail.com
Tante Ju,yes,,Dresden,,info@tanteju.com
Zoom,yes,,Frankfurt,,info@zoomfrankfurt.com
REX Musiktheater,yes,,Bensheim,,
Rattlesnake Saloon,yes,,München,,bruno@rattlesnake-saloon.com
Ilvers,yes,,Erfurt,,florian@ilvers.de
Museumskeller,yes,,Erfurt,,info@museumskeller.de
Quasimodo,yes,,Berlin,,info@quasimodo.de
Vischers Blues Jam,yes,,Nürnberg,,
,yes,,,,
Kasseturm,yes,,Weimar,,clubleitung@kasseturm.de
Noergelbuff,yes,,Göttingen,,booking@noergelbuff.de
Räucherei,yes,,Kiel,,booking@raeucherei.org
Charlys Musikkneipe,yes,,Oldenburg,,charly@charlys-musikkneipe.de
Spinnerei Kammgarn,yes,,Kammgarn (AT),,kammgarn@hard.at
Hot Rock Kneipe,yes,,Kiel,,hot-rock-kiel@gmx.de
Medusa,yes,,Kiel Gaarden,,medusa@gaarden.net
Studio 30,yes,,Saarbrücken,,bookings@studio-30.de
GegenüberBar,yes,,Bielefeld,,svenhoman@yahoo.de
New Sun Kulturkneipe,yes,,Bebra,,info@hiero-gastro.de
The Ranch House,yes,,Kerken,,contact@theranchhousecafe.de
Zeitgeist,yes,,Dresden,,info@derzeitgeist.de
Gaststätte zum Rühl,yes,,Oberursel,,info@zum-ruehl.de
Sam's Bistro,,,Saarbrücken,,sams@sams-bistro.de
Die Stadtmitte,yes,,Karlsruhe,,booking@die-stadtmitte.de
ClubCann,yes,,Stuttgart,,booking@clubcann.de
Kulturfrabrik Krefeld,yes,,Krefeld,,office@kulturfabrik-krefeld.de
Zosch,yes,,Berlin,,info@zosch-berlin.de
Grüner Baum,yes,,Allersberg,,kontakt@gruenerbaumallersberg.de
Kapuzinerklause,yes,,Schnaittach,,info@kroder.de
Jukuz,yes,,Aschaffenburg,,info@jukuz.de
Gaststätte Friedrichshöhe DAS Rockn Bluesrasthaus,yes,,Steinhagen,,d.luedtke@gmx.de
Haus Eifgen,yes,,Wärmelskirchen,,info@kultin-wk.de
Vaudeville,yes,,Lindau,,info@vaudeville.de
Kantine Yard Club,yes,,Köln,,booking@kantine.com
Weißes Roß Immeldorf,yes,,Lichtenau,,walterimmeldorf@gmail.com
Tante Anna,yes,,Saarbrücken,,anna-oplan@gmx.de
Vier Linden,yes,,Düsseldorf,,info@biergarten-vierlinden.de
Mosas Place,yes,,Peißenberg,,el_moritzio@hotmail.de
Cowboy & Indianer,yes,,Hamburg,,????
Barcode live,yes,,Pinneberg,,info@barcode-live.de
Chattahoochee,yes,,Hamburg,,architekt-bode@web.de
,yes,,,,
Import Export,yes,,München,,office@import-export.cc
Das Zentrum,yes,,Bayreuth,,info@das-zentrum.de
Kulturhaus Caserne,yes,,Friedrichshafen,,c-m.haydt@kulturhaus-caserne.de
Frisco Diner,yes,,Lübeck,,info@myfrisco.de
Mobile Blues Club,yes,,Hamburg,,kontakt@mobile-blues-club.de
Alte Utting,yes,,München,,info@alte-utting.de
Zakk,yes,,Düsseldorf,,info@zakk.de
Zwischen Deck und Tape,yes,,Kassel,,booking@zwischendeckundtape.de
Bluesclub Letzbuerg,yes,,,,
O Man River,yes,,Heringsdorf/Usedom,,omanriver@t-online.de
Brasserie Hermann,yes,,Greifswald,,info@brasseriehermann.de
Zimmer 16,yes,,Pankow,,zimmer16@gmail.com
Loewe,yes,,Fulda,,info@loewe-fulda.de
Rockschicht,yes,,Viersen,,info@rockschicht.de
Junction Bar,yes,,Berlin,,info@junction-bar.de
Habrocks Music & Diner,yes,,Ennigerlohe,,info@habrocks-diner.de
Kneipenbühne Oberweiling,yes,,Velburg,,profikun@kneipenbuehne.de
Die Drogerie,yes,,Neuburg a. d. Donau,,klauskoeppl@gmx.de
Raven,yes,,Straubing,,info@ali-raven.com
Galerie im Weinlager,yes,,Nürnberg,,walter19541@hotmail.de
,yes,,,,
,yes,,,,
Badehaus Szimpla,yes,,Berlin,,booking@badehaus-berlin.com
Yuca,,,Köln,,info@cbe-cologne.de
Lux,yes,,Hannover,,info@lux-linden.de
Nochtspeicher,yes,,Hamburg,,booking@nochtspeicher.de
Groovestation,yes,,Dresden,,info@groovestation.de
Naumanns Felsenkeller,yes,,Leipzig,,info@felsenkeller-leipzig.com
Kulturclub schon schön,yes,,Mainz,,booking@schon-schoen.de
Die Schmidd,yes,,St. Ingbert,,info@schmidd.de
Grüner Baum,yes,,Dessau,,info@gruenerbaum-dessau.de
Engelsburg,yes,,Erfurt,,info@engelsburg.club
Dschungel,yes,,Volkach,,
Junkyard,yes,,Dortmund,,mail@junkyard.ruhr
Strohalm,yes,,Erlangen,,kulturbuehne@outlook.de
Route 66 Flingern,yes,,Düsseldorf,,route66-flingern@gmx.de
Brandys Braugarage,yes,,Wallersdorf,,info@brandys-braugarage.de
The Tube,yes,,Düsseldorf,,info@the-tube-club.com
Bistro Kontext,yes,,Wiesbaden,,info@kontext-wiesbaden.de
Red River,yes,,Heilbronn,,andy@musikkneipe-redriver.de
Club W71,yes,,Weikersheim,,noba@gmx.de
Werkhof Kulturzentrum,yes,,Hagen,,info@werkhof-kulturzentrum.de
Treibsand Lübeck,yes,,Lübeck,,info@treibsand.net
Zauberberg,yes,,Passau,,booking@zauberberg-passau.com
,yes,,,,
Blues Club Chiemgau,yes,,Bernau,,bluesclubchiemgau@googlemail.com
KISH Liveszene,yes,,Postbauer Heng,,booking@kish-live.de
Spreewilder Bühne,yes,,,,info@spreewilder.de
Vortex Surfer,yes,,Siegen,,info@vortex-surfer.de
Harmonie,yes,,Bonn,,info@harmonie-bonn.de
Zoom Eulenspiegel,yes,,Bad Kissingen,,info@zoom-eulenspiegel.de
L.A. Café,yes,,Cham,,info@la-cham.de
Backstage,yes,,München,,mail@backstage.eu
Kesselhaus,yes,,Berlin,,mueller@kesselhaus-berlin.de
Tank-Stelle,yes,,Dormagen,,info@tank-stelle.de
Im Wizemann,yes,,Stuttgart,,info@imwizemann.de
Downtown Blues Club,yes,,Hamburg,,kontakt@landhauswalter.de
Fritz Hensler Haus,yes,,Dortmund,,dkottnik@stadtdo.de
Kulturtransport,yes,,Frelsdorf,,info@kulturtransport.de
Prinzenbar,yes,,Hamburg,,info@docks.de
,yes,,,,
Katy's Garage,yes,,Dresden,,???
Amorsaal,yes,,Mühlsen,,amorsaal@gmx.de
,,,,,
Columbia Theater,yes,,Berlin,,info@columbia-theater.de
